timestamp,split,label,session,side,relative_path,face_score,face_height,eye_distance,roll_angle_deg,center_x,center_y,crop_box,face_box
20260624_215516_017,train,open,front,left,train/open/front/eye_L_20260624_215516_017.png,1.000000,238.330597,97.715442,-6.483074,297.388672,214.074524,"274.000000,190.000000,321.000000,238.000000","250.526947,127.680298,453.432617,366.010895"
20260624_215516_017,train,open,front,right,train/open/front/eye_R_20260624_215516_017.png,1.000000,238.330597,97.715442,-6.483074,394.479248,203.041504,"371.000000,179.000000,418.000000,227.000000","250.526947,127.680298,453.432617,366.010895"
20260624_215516_117,train,open,front,left,train/open/front/eye_L_20260624_215516_117.png,0.999512,247.007324,97.989124,-7.765184,289.661285,211.867920,"265.000000,187.000000,315.000000,237.000000","245.499359,121.053284,444.809418,368.060608"
20260624_215516_117,train,open,front,right,train/open/front/eye_R_20260624_215516_117.png,0.999512,247.007324,97.989124,-7.765184,386.751862,198.628265,"362.000000,174.000000,412.000000,224.000000","245.499359,121.053284,444.809418,368.060608"
20260624_215516_229,train,open,front,left,train/open/front/eye_L_20260624_215516_229.png,0.999512,238.330551,95.293588,-5.314547,280.834900,222.900940,"257.000000,200.000000,304.000000,246.000000","236.594376,136.834702,437.694153,375.165253"
20260624_215516_229,train,open,front,right,train/open/front/eye_R_20260624_215516_229.png,0.999512,238.330551,95.293588,-5.314547,375.718842,214.074524,"352.000000,191.000000,399.000000,237.000000","236.594376,136.834702,437.694153,375.165253"
20260624_215516_349,train,open,front,left,train/open/front/eye_L_20260624_215516_349.png,0.999512,244.808945,95.523273,-6.632515,264.281128,214.074524,"240.000000,190.000000,289.000000,239.000000","223.275452,122.152481,419.053589,366.961426"
20260624_215516_349,train,open,front,right,train/open/front/eye_R_20260624_215516_349.png,0.999512,244.808945,95.523273,-6.632515,359.165100,203.041504,"335.000000,179.000000,384.000000,227.000000","223.275452,122.152481,419.053589,366.961426"
20260624_215516_461,train,open,front,left,train/open/front/eye_L_20260624_215516_461.png,0.999512,242.630157,95.523273,-6.632515,266.487732,216.281097,"242.000000,192.000000,291.000000,240.000000","224.419739,125.530518,420.197815,368.160675"
20260624_215516_461,train,open,front,right,train/open/front/eye_R_20260624_215516_461.png,0.999512,242.630157,95.523273,-6.632515,361.371704,205.248077,"337.000000,181.000000,386.000000,229.000000","224.419739,125.530518,420.197815,368.160675"
20260624_215516_573,train,open,front,left,train/open/front/eye_L_20260624_215516_573.png,0.999023,240.470764,88.704353,-5.710595,265.388672,211.867920,"242.000000,188.000000,289.000000,236.000000","216.096115,125.465881,410.131775,365.936646"
20260624_215516_573,train,open,front,right,train/open/front/eye_R_20260624_215516_573.png,0.999023,240.470764,88.704353,-5.710595,353.652802,203.041504,"330.000000,179.000000,377.000000,227.000000","216.096115,125.465881,410.131775,365.936646"
20260624_215516_673,train,open,front,left,train/open/front/eye_L_20260624_215516_673.png,0.999512,229.958557,88.512025,-4.289155,276.421692,201.933960,"254.000000,180.000000,299.000000,224.000000","225.529327,122.752319,414.430237,352.710876"
20260624_215516_673,train,open,front,right,train/open/front/eye_R_20260624_215516_673.png,0.999512,229.958557,88.512025,-4.289155,364.685822,195.314148,"342.000000,173.000000,387.000000,218.000000","225.529327,122.752319,414.430237,352.710876"
20260624_215516_777,train,open,front,left,train/open/front/eye_L_20260624_215516_777.png,0.999023,232.023621,93.096725,-5.440332,268.694336,206.347168,"246.000000,184.000000,291.000000,229.000000","226.714050,126.296997,415.614929,358.320618"
20260624_215516_777,train,open,front,right,train/open/front/eye_R_20260624_215516_777.png,0.999023,232.023621,93.096725,-5.440332,361.371704,197.520752,"339.000000,175.000000,384.000000,220.000000","226.714050,126.296997,415.614929,358.320618"
20260624_215516_897,train,open,front,left,train/open/front/eye_L_20260624_215516_897.png,0.999023,238.330597,97.315990,-3.900494,264.281128,204.140564,"241.000000,181.000000,287.000000,227.000000","223.002396,124.287811,417.038025,362.618408"
20260624_215516_897,train,open,front,right,train/open/front/eye_R_20260624_215516_897.png,0.999023,238.330597,97.315990,-3.900494,361.371704,197.520752,"339.000000,175.000000,384.000000,220.000000","223.002396,124.287811,417.038025,362.618408"
20260624_215517_017,train,open,front,left,train/open/front/eye_L_20260624_215517_017.png,0.999512,234.107178,92.782385,-2.726311,280.834900,201.933960,"259.000000,180.000000,303.000000,224.000000","238.701324,125.255249,431.010071,359.362427"
